Scenario,Month,Illuminance(lux)
msp_102_BBG-VB-15_2011-a, 10,1081.02
msp_102_BBG-VB-15_2011-a, 11,848.31
msp_102_BBG-VB-15_2011-a, 12,1305.31
msp_102_BBG-VB-30_102, 01,1810.16
msp_102_BBG-VB-30_102, 02,1648.09
msp_102_BBG-VB-30_102, 03,2414.58
msp_102_BBG-VB-30_102, 04,1249.44
msp_102_BBG-VB-30_102, 05,966.19
msp_102_BBG-VB-30_102, 06,991.3
msp_102_BBG-VB-30_102, 07,973.24
msp_102_BBG-VB-30_102, 08,1150.33
msp_102_BBG-VB-30_102, 09,2307.92
msp_102_BBG-VB-30_102, 10,2253.49
msp_102_BBG-VB-30_102, 11,1045.48
msp_102_BBG-VB-30_102, 12,1454.92
msp_102_BBG-VB-30_2011, 01,1556.61
msp_102_BBG-VB-30_2011, 02,1404.35
msp_102_BBG-VB-30_2011, 03,2045.04
msp_102_BBG-VB-30_2011, 04,1042.93
msp_102_BBG-VB-30_2011, 05,798.83
msp_102_BBG-VB-30_2011, 06,816.38
msp_102_BBG-VB-30_2011, 07,802.97
msp_102_BBG-VB-30_2011, 08,959.09
msp_102_BBG-VB-30_2011, 09,1944.0
msp_102_BBG-VB-30_2011, 10,1914.71
msp_102_BBG-VB-30_2011, 11,896.94
msp_102_BBG-VB-30_2011, 12,1255.44
msp_102_BBG-VB-30_2011-a, 01,1556.61
msp_102_BBG-VB-30_2011-a, 02,1404.35
msp_102_BBG-VB-30_2011-a, 03,2045.04
msp_102_BBG-VB-30_2011-a, 04,1042.93
msp_102_BBG-VB-30_2011-a, 05,798.83
msp_102_BBG-VB-30_2011-a, 06,816.38
msp_102_BBG-VB-30_2011-a, 07,802.97
msp_102_BBG-VB-30_2011-a, 08,959.09
msp_102_BBG-VB-30_2011-a, 09,1944.0
msp_102_BBG-VB-30_2011-a, 10,1914.71
msp_102_BBG-VB-30_2011-a, 11,896.94
msp_102_BBG-VB-30_2011-a, 12,1255.44
msp_102_BBG-VB-45_102, 01,1268.17
msp_102_BBG-VB-45_102, 02,1525.82
msp_102_BBG-VB-45_102, 03,2958.24
msp_102_BBG-VB-45_102, 04,1571.56
msp_102_BBG-VB-45_102, 05,973.11
msp_102_BBG-VB-45_102, 06,1040.29
msp_102_BBG-VB-45_102, 07,1015.49
msp_102_BBG-VB-45_102, 08,1279.26
msp_102_BBG-VB-45_102, 09,3409.3
msp_102_BBG-VB-45_102, 10,2429.24
msp_102_BBG-VB-45_102, 11,793.47
msp_102_BBG-VB-45_102, 12,968.22
msp_102_BBG-VB-45_2011, 01,1082.37
msp_102_BBG-VB-45_2011, 02,1293.24
msp_102_BBG-VB-45_2011, 03,2498.57
msp_102_BBG-VB-45_2011, 04,1308.87
msp_102_BBG-VB-45_2011, 05,797.34
msp_102_BBG-VB-45_2011, 06,847.46
msp_102_BBG-VB-45_2011, 07,828.99
msp_102_BBG-VB-45_2011, 08,1061.16
msp_102_BBG-VB-45_2011, 09,2865.95
msp_102_BBG-VB-45_2011, 10,2058.17
msp_102_BBG-VB-45_2011, 11,674.05
msp_102_BBG-VB-45_2011, 12,828.96
msp_102_BBG-VB-45_2011-a, 01,1082.37
msp_102_BBG-VB-45_2011-a, 02,1293.24
msp_102_BBG-VB-45_2011-a, 03,2498.57
msp_102_BBG-VB-45_2011-a, 04,1308.87
msp_102_BBG-VB-45_2011-a, 05,797.34
msp_102_BBG-VB-45_2011-a, 06,847.46
